Datetime,Dirawat,Data kasus,Data Meninggal,Data Sembuh,Remarks,beras,bawang putih,bawang merah,cabai merah,cabai rawit,daging sapi,daging ayam,telur ayam,minyak goreng,gula pasir
3/1/2020 7:00,2,2,0,0,2020-Mar-Week-1,13250,58200,38450,62500,13250,126650,36750,26900,13800,15950
3/2/2020 7:00,2,2,0,0,2020-Mar-Week-1,13250,58200,38450,62500,13250,126650,36750,26900,13800,15950
3/3/2020 7:00,2,2,0,0,2020-Mar-Week-1,13250,58200,38450,62500,13250,126650,36750,26900,13800,15950
3/4/2020 7:00,2,2,0,0,2020-Mar-Week-1,13250,58200,38450,62500,13250,126650,36750,26900,13800,15950
3/5/2020 7:00,-1,0,1,0,2020-Mar-Week-1,13250,58200,38450,62500,13250,126650,36750,26900,13800,15950
3/6/2020 7:00,0,0,0,0,2020-Mar-Week-1,13250,58200,38450,62500,13250,126650,36750,26900,13800,15950
3/7/2020 7:00,-2,0,2,0,2020-Mar-Week-1,13250,58200,38450,62500,13250,126650,36750,26900,13800,15950
3/8/2020 7:00,0,0,0,0,2020-Mar-Week-2,13300,53850,38850,63750,13300,126650,36800,27100,13750,17350
3/9/2020 7:00,-1,0,1,0,2020-Mar-Week-2,13300,53850,38850,63750,13300,126650,36800,27100,13750,17350
3/10/2020 7:00,0,0,0,0,2020-Mar-Week-2,13300,53850,38850,63750,13300,126650,36800,27100,13750,17350
3/11/2020 7:00,0,0,0,0,2020-Mar-Week-2,13300,53850,38850,63750,13300,126650,36800,27100,13750,17350
3/12/2020 7:00,-3,2,1,4,2020-Mar-Week-2,13300,53850,38850,63750,13300,126650,36800,27100,13750,17350
3/13/2020 7:00,0,4,1,3,2020-Mar-Week-2,13300,53850,38850,63750,13300,126650,36800,27100,13750,17350
3/14/2020 7:00,0,2,1,1,2020-Mar-Week-2,13300,53850,38850,63750,13300,126650,36800,27100,13750,17350
3/15/2020 7:00,5,8,3,0,2020-Mar-Week-3,13300,51800,40000,54000,13300,126650,36700,26250,13700,17700
3/16/2020 7:00,-1,2,3,0,2020-Mar-Week-3,13300,51800,40000,54000,13300,126650,36700,26250,13700,17700
3/17/2020 7:00,1,2,1,0,2020-Mar-Week-3,13300,51800,40000,54000,13300,126650,36700,26250,13700,17700
3/18/2020 7:00,0,1,1,0,2020-Mar-Week-3,13300,51800,40000,54000,13300,126650,36700,26250,13700,17700
3/19/2020 7:00,1,2,0,1,2020-Mar-Week-3,13300,51800,40000,54000,13300,126650,36700,26250,13700,17700
3/20/2020 7:00,1,5,3,1,2020-Mar-Week-3,13300,51800,40000,54000,13300,126650,36700,26250,13700,17700
3/21/2020 7:00,-1,8,3,6,2020-Mar-Week-3,13300,51800,40000,54000,13300,126650,36700,26250,13700,17700
3/22/2020 7:00,-1,2,0,3,2020-Mar-Week-4,13400,54150,46700,49800,13400,126650,35250,26350,13700,18850
3/23/2020 7:00,0,0,0,0,2020-Mar-Week-4,13400,54150,46700,49800,13400,126650,35250,26350,13700,18850
3/24/2020 7:00,-6,16,19,3,2020-Mar-Week-4,13400,54150,46700,49800,13400,126650,35250,26350,13700,18850
3/25/2020 7:00,0,1,1,0,2020-Mar-Week-4,13400,54150,46700,49800,13400,126650,35250,26350,13700,18850
3/26/2020 7:00,55,57,2,0,2020-Mar-Week-4,13400,54150,46700,49800,13400,126650,35250,26350,13700,18850
3/27/2020 7:00,61,74,7,6,2020-Mar-Week-4,13400,54150,46700,49800,13400,126650,35250,26350,13700,18850
3/28/2020 7:00,30,48,9,9,2020-Mar-Week-4,13400,54150,46700,49800,13400,126650,35250,26350,13700,18850
3/29/2020 7:00,42,52,10,0,2020-Mar-Week-5,13450,53150,47500,40750,13450,126650,34600,25950,13700,18900
3/30/2020 7:00,26,33,7,0,2020-Mar-Week-5,13450,53150,47500,40750,13450,126650,34600,25950,13700,18900
3/31/2020 7:00,34,44,10,0,2020-Mar-Week-5,13450,53150,47500,40750,13450,126650,34600,25950,13700,18900
