date,year,price,delta
1/1/2018,2018,13950,0
1/8/2018,2018,13950,0
1/15/2018,2018,13900,-50
1/22/2018,2018,13900,0
1/29/2018,2018,13850,-50
2/5/2018,2018,13700,-150
2/12/2018,2018,13600,-100
2/19/2018,2018,13850,250
2/26/2018,2018,13850,0
3/5/2018,2018,13850,0
3/12/2018,2018,13850,0
3/19/2018,2018,13850,0
3/26/2018,2018,13850,0
4/2/2018,2018,13850,0
4/9/2018,2018,13750,-100
4/16/2018,2018,13700,-50
4/23/2018,2018,13700,0
4/30/2018,2018,13700,0
5/7/2018,2018,13750,50
5/14/2018,2018,13900,150
5/21/2018,2018,13850,-50
5/28/2018,2018,13900,50
6/4/2018,2018,13900,0
6/11/2018,2018,13900,0
6/18/2018,2018,13900,0
6/25/2018,2018,13900,0
7/2/2018,2018,13900,0
7/9/2018,2018,13900,0
7/16/2018,2018,13900,0
7/23/2018,2018,13750,-150
7/30/2018,2018,13700,-50
8/6/2018,2018,13600,-100
8/13/2018,2018,13600,0
8/20/2018,2018,13600,0
8/27/2018,2018,13600,0
9/3/2018,2018,13600,0
9/10/2018,2018,13600,0
9/17/2018,2018,13600,0
9/24/2018,2018,13500,-100
10/1/2018,2018,13450,-50
10/8/2018,2018,13450,0
10/15/2018,2018,13450,0
10/22/2018,2018,13450,0
10/29/2018,2018,13450,0
11/5/2018,2018,13400,-50
11/12/2018,2018,13400,0
11/19/2018,2018,13400,0
11/26/2018,2018,13400,0
12/3/2018,2018,13300,-100
12/10/2018,2018,13300,0
12/17/2018,2018,13350,50
12/24/2018,2018,13400,50
12/31/2018,2018,13450,50
1/7/2019,2019,13500,50
1/14/2019,2019,13450,-50
1/21/2019,2019,13400,-50
1/28/2019,2019,13400,0
2/4/2019,2019,13400,0
2/11/2019,2019,13450,50
2/18/2019,2019,13450,0
2/25/2019,2019,13450,0
3/4/2019,2019,13450,0
3/11/2019,2019,13450,0
3/18/2019,2019,13450,0
3/25/2019,2019,13450,0
4/1/2019,2019,13450,0
4/8/2019,2019,13450,0
4/15/2019,2019,13450,0
4/22/2019,2019,13450,0
4/29/2019,2019,13600,150
5/6/2019,2019,14250,650
5/13/2019,2019,14400,150
5/20/2019,2019,14400,0
5/27/2019,2019,14400,0
6/3/2019,2019,14400,0
6/10/2019,2019,14400,0
6/17/2019,2019,14400,0
6/24/2019,2019,14400,0
7/1/2019,2019,14400,0
7/8/2019,2019,14300,-100
7/15/2019,2019,14250,-50
7/22/2019,2019,14250,0
7/29/2019,2019,14250,0
8/5/2019,2019,14250,0
8/12/2019,2019,14250,0
8/19/2019,2019,14250,0
8/26/2019,2019,14250,0
9/2/2019,2019,14250,0
9/9/2019,2019,14250,0
9/16/2019,2019,14250,0
9/23/2019,2019,14250,0
9/30/2019,2019,14250,0
10/7/2019,2019,14250,0
10/14/2019,2019,14300,50
10/21/2019,2019,14350,50
10/28/2019,2019,14350,0
11/4/2019,2019,14350,0
11/11/2019,2019,14350,0
11/18/2019,2019,14250,-100
11/25/2019,2019,14250,0
12/2/2019,2019,14250,0
12/9/2019,2019,14350,100
12/16/2019,2019,14350,0
12/23/2019,2019,14350,0
12/30/2019,2019,14350,0
1/6/2020,2020,14400,50
1/13/2020,2020,14850,450
1/20/2020,2020,14900,50
1/27/2020,2020,14900,0
2/3/2020,2020,14900,0
2/10/2020,2020,15000,100
2/17/2020,2020,15000,0
2/24/2020,2020,15000,0
3/2/2020,2020,15950,950
3/9/2020,2020,17350,1400
3/16/2020,2020,17700,350
3/23/2020,2020,18850,1150
3/30/2020,2020,18900,50
4/6/2020,2020,19100,200
4/13/2020,2020,19200,100
4/20/2020,2020,19150,-50
4/27/2020,2020,19100,-50
5/4/2020,2020,18900,-200
5/11/2020,2020,18900,0
5/18/2020,2020,18750,-150
5/25/2020,2020,18750,0
6/1/2020,2020,18400,-350
6/8/2020,2020,17700,-700
6/15/2020,2020,17200,-500
6/22/2020,2020,16950,-250
6/29/2020,2020,16650,-300
7/6/2020,2020,16250,-400
7/13/2020,2020,16000,-250
7/20/2020,2020,15700,-300
7/27/2020,2020,15500,-200
8/3/2020,2020,15500,0
8/10/2020,2020,15500,0
8/17/2020,2020,15500,0
8/24/2020,2020,15500,0
8/31/2020,2020,15400,-100
9/7/2020,2020,15100,-300
9/14/2020,2020,15100,0
9/21/2020,2020,14900,-200
9/28/2020,2020,14900,0
10/5/2020,2020,15000,100
10/12/2020,2020,15000,0
10/19/2020,2020,15000,0
10/26/2020,2020,15000,0
11/2/2020,2020,15000,0
11/9/2020,2020,15000,0
11/16/2020,2020,15100,100
11/23/2020,2020,15100,0
11/30/2020,2020,15100,0
12/7/2020,2020,15150,50
12/14/2020,2020,15100,-50
12/21/2020,2020,15100,0
12/28/2020,2020,15100,0
1/4/2021,2021,15050,-50
1/11/2021,2021,15000,-50
1/18/2021,2021,14900,-100
1/25/2021,2021,14750,-150
2/1/2021,2021,14750,0
2/8/2021,2021,14750,0
2/15/2021,2021,14750,0
2/22/2021,2021,14750,0
3/1/2021,2021,14750,0
3/8/2021,2021,14750,0
3/15/2021,2021,14750,0
3/22/2021,2021,14750,0
3/29/2021,2021,14700,-50
4/5/2021,2021,14600,-100
4/12/2021,2021,14500,-100
4/19/2021,2021,14400,-100
4/26/2021,2021,14400,0
5/3/2021,2021,14400,0
5/10/2021,2021,14400,0
5/17/2021,2021,14400,0
5/24/2021,2021,14400,0
5/31/2021,2021,14400,0
6/7/2021,2021,14500,100
6/14/2021,2021,14500,0
6/21/2021,2021,14500,0
6/28/2021,2021,14500,0
7/5/2021,2021,14500,0
7/12/2021,2021,14500,0
7/19/2021,2021,14500,0
7/26/2021,2021,14650,150
8/2/2021,2021,14650,0
8/9/2021,2021,14650,0
8/16/2021,2021,14650,0
8/23/2021,2021,14600,-50
8/30/2021,2021,14600,0
9/6/2021,2021,14600,0
9/13/2021,2021,14600,0
9/20/2021,2021,14600,0
9/27/2021,2021,14600,0
10/4/2021,2021,14400,-200
10/11/2021,2021,14400,0
10/18/2021,2021,14400,0
10/25/2021,2021,14400,0
11/1/2021,2021,14400,0
11/8/2021,2021,14400,0
11/15/2021,2021,14400,0
11/22/2021,2021,14350,-50
11/29/2021,2021,14300,-50
